"","pond","treat","month","community.abundance","community.biomass"
"1",1,"Warm","Apr",211,10.168675624842
"2",1,"Warm","Aug",1200,2.65730864247816
"3",1,"Warm","Dec",152,4.61673913127585
"4",1,"Warm","Feb",336,2.92482706067794
"5",1,"Warm","Jan",168,0.70566553393812
"6",1,"Warm","Jul",1341,5.51316670822121
"7",1,"Warm","Jun",1194,1.22985485099471
"8",1,"Warm","Mar",205,6.49726995706334
"9",1,"Warm","May",513,5.90030043790757
"10",1,"Warm","Nov",151,7.58553389522808
"11",1,"Warm","Oct",320,6.49721237309306
"12",1,"Warm","Sep",783,10.2173531556888
"13",2,"Cold","Apr",612,16.898943413911
"14",2,"Cold","Aug",1036,6.85197477242386
"15",2,"Cold","Dec",78,16.9116809721343
"16",2,"Cold","Feb",475,0.606785092518233
"17",2,"Cold","Jan",161,7.21186144034662
"18",2,"Cold","Jul",1482,3.44851850343768
"19",2,"Cold","Jun",2213,2.93463334332694
"20",2,"Cold","Mar",106,2.66188035041353
"21",2,"Cold","May",1143,10.7932971742045
"22",2,"Cold","Nov",109,4.65143119642257
"23",2,"Cold","Oct",450,10.6407930228228
"24",2,"Cold","Sep",968,18.5359483679626
"25",3,"Cold","Apr",521,10.2041182030355
"26",3,"Cold","Aug",768,8.98429031787524
"27",3,"Cold","Dec",100,16.5950283880163
"28",3,"Cold","Feb",724,15.5811540449705
"29",3,"Cold","Jan",103,9.84812684176264
"30",3,"Cold","Jul",1461,8.11971117249511
"31",3,"Cold","Jun",1531,10.6048818660434
"32",3,"Cold","Mar",173,6.19159881309407
"33",3,"Cold","May",1326,22.4119369743082
"34",3,"Cold","Nov",419,12.9448755216415
"35",3,"Cold","Oct",326,6.10580274732752
"36",3,"Cold","Sep",738,3.9166706202005
"37",4,"Warm","Apr",602,21.1549466785463
"38",4,"Warm","Aug",684,3.90937091163535
"39",4,"Warm","Dec",190,8.2529774531566
"40",4,"Warm","Feb",208,15.5878735989371
"41",4,"Warm","Jan",90,3.54442585659613
"42",4,"Warm","Jul",1000,1.17707615319863
"43",4,"Warm","Jun",1275,1.09849775571173
"44",4,"Warm","Mar",314,9.66467449253506
"45",4,"Warm","May",779,9.93358485423762
"46",4,"Warm","Nov",1130,12.1741511800312
"47",4,"Warm","Oct",332,2.64060539068946
"48",4,"Warm","Sep",1026,16.3382084155247
"49",5,"Cold","Apr",584,33.8257943931233
