"","pond","treat","month","temp","taxon","abundance","mean.bodymass","max.bodymass","biomass"
"1",1,"Warm","Apr",14,"AlgaeDesmidClosteriumcynthia",9,0.002469395847345,0.00298201440755315,0.00555614065652625
"2",1,"Warm","Apr",14,"AlgaeDesmidClosteriumparvulum",11,0.00475657548105743,0.00545296918298603,0.0130805825729079
"3",1,"Warm","Apr",14,"AlgaeDesmidCosmariumunknown",4,0.00371077633129076,0.00475653149876028,0.00371077633129076
"4",1,"Warm","Apr",14,"AlgaeDesmidPleurotaeniumunknown",8,0.0823805720746372,0.0934318687256484,0.164761144149274
"5",1,"Warm","Apr",14,"AlgaeDesmidScenedesmusunknown",12,0.00140844583468097,0.00156107833351979,0.0042253375040429
"6",1,"Warm","Apr",14,"AlgaeDesmidSpirogyraunknown",40,0.905140492296797,1.24985950725479,9.05140492296797
"7",1,"Warm","Apr",14,"AlgaeDesmidStaurodesmusunknown",4,3.31003437969977e-05,3.48339793430036e-05,3.31003437969977e-05
"8",1,"Warm","Apr",14,"AlgaeDiatomCymbellaunknown",1,0.0142616117093481,0.0142616117093481,0.00356540292733702
"9",1,"Warm","Apr",14,"AlgaeDiatomNaviculaunknown",44,0.000285384632846587,0.000395147953172197,0.00313923096131246
"10",1,"Warm","Apr",14,"AlgaeDiatomNeidiumunknown",1,0.000399139346638583,0.000399139346638583,9.97848366596457e-05
"11",1,"Warm","Apr",14,"CiliateAspidiscidaeAspidiscacostata",1,0.000907134878724053,0.000907134878724053,0.000226783719681013
"12",1,"Warm","Apr",14,"CiliateCinetochilidaeCinetochilummargaritaceum",1,0.000409783062548945,0.000409783062548945,0.000102445765637236
"13",1,"Warm","Apr",14,"CiliateCyclidiidaeCyclidiumbrandoni",2,0.000507431092605375,0.000510898363697387,0.000253715546302688
"14",1,"Warm","Apr",14,"CiliateHalteridaeHalteriagrandinella",2,0.00138301783610269,0.00140497050016781,0.000691508918051345
"15",1,"Warm","Apr",14,"CiliateLoxodidaeLoxodesrostrum",2,0.0306612395350844,0.0336044688869339,0.0153306197675422
"16",1,"Warm","Apr",14,"CiliateProrodontidaeProrodonfarctus",1,0.0119429346422237,0.0119429346422237,0.00298573366055593
"17",1,"Warm","Apr",14,"CiliateSpirofilidaeStichotrichasecunda",3,0.0161661783445761,0.0174023142450193,0.0121246337584321
"18",1,"Warm","Apr",14,"CiliateStrombilidiidaeStrombilidiumgyrans",2,0.00186200521062185,0.00199972844376502,0.000931002605310925
"19",1,"Warm","Apr",14,"FlagellateFlagellateFlagellateunknown",45,0.000320350762702787,0.00987769090166191,0.00360394608040636
"20",1,"Warm","Apr",14,"FlagellateFlagellatePeridiniumunknown",2,0.00367389625883241,0.00367389625883241,0.00183694812941621
"21",1,"Warm","Apr",14,"MeiofaunaCopepodaCopepodaunknown",1,1.67203100846417,1.67203100846417,0.418007752116043
"22",1,"Warm","Apr",14,"MeiofaunaNematodaunknownunknown",10,0.168759716076334,0.362853951489621,0.421899290190835
"23",1,"Warm","Apr",14,"MeiofaunaRotiferaKeratellavalga",2,0.037998811666449,0.0401587401297967,0.0189994058332245
"24",1,"Warm","Apr",14,"MeiofaunaRotiferaunknownunknown",3,0.0310105738171223,0.0838595798998236,0.0232579303628417
"25",1,"Warm","Aug",22.3,"AlgaeDesmidClosteriumparvulum",256,0.00430956690175793,0.00524122374373897,0.275812281712508
"26",1,"Warm","Aug",22.3,"AlgaeDesmidCosmariumunknown",31,0.0047731701929996,0.00896104118598768,0.0369920689957469
"27",1,"Warm","Aug",22.3,"AlgaeDesmidPleurotaeniumunknown",33,0.0520828979963286,0.0690886018767955,0.429683908469711
"28",1,"Warm","Aug",22.3,"AlgaeDesmidStaurodesmusunknown",153,2.95719861811659e-05,4.06396425668376e-05,0.0011311284714296
"29",1,"Warm","Aug",22.3,"AlgaeDiatomAmphoraunknown",50,0.00172859590779083,0.00172859590779083,0.0216074488473854
"30",1,"Warm","Aug",22.3,"AlgaeDiatomNaviculaunknown",55,0.000379303330623817,0.000379303330623817,0.00521542079607748
"31",1,"Warm","Aug",22.3,"AlgaeDiatomPeniumunknown",302,0.00049783562144376,0.00049783562144376,0.0375865894190039
"32",1,"Warm","Aug",22.3,"CiliateCinetochilidaeCinetochilummargaritaceum",1,0.000136070231808608,0.000136070231808608,3.4017557952152e-05
"33",1,"Warm","Aug",22.3,"CiliateCyclidiidaeCyclidiumglaucoma",3,0.000284800034813632,0.000490538225308247,0.000213600026110224
"34",1,"Warm","Aug",22.3,"CiliateHalteridaeHalteriagrandinella",7,0.000725402644893069,0.00108485268074253,0.00126945462856287
