"","pond","treat","month","temp","sample","group","family","genus","species","feeding","taxon","abundance","bodymass","biomass"
"1",8,"Warm","Feb",13.7,"Sediment","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",1,0.00463646715792294,0.00115911678948074
"2",9,"Warm","Feb",9.3,"Sediment","Ciliate","Strombilidiidae","Strombilidium","humile","heterotroph","CiliateStrombilidiidaeStrombilidiumhumile",1,0.000629954776891703,0.000157488694222926
"3",10,"Cold","Feb",13.4,"Sediment","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",1,0.000681359086686066,0.000170339771671516
"4",4,"Warm","Mar",13.1,"Sediment","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",3,0.00125982891957196,0.000944871689678972
"5",5,"Cold","Mar",10.5,"Sediment","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",3,0.00137950352838734,0.00103462764629051
"6",8,"Warm","Mar",14.8,"Sediment","Ciliate","Strombilidiidae","Strombilidium","cirrus","heterotroph","CiliateStrombilidiidaeStrombilidiumcirrus",1,0.00140497050016781,0.000351242625041952
"7",14,"Warm","Mar",13,"Mid-column","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",3,0.00107228718279279,0.000804215387094595
"8",15,"Warm","Mar",12.8,"Mid-column","Ciliate","Strombilidiidae","Strombilidium","humile","heterotroph","CiliateStrombilidiidaeStrombilidiumhumile",2,0.00039865554136993,0.000199327770684965
"9",15,"Warm","Mar",12.8,"Mid-column","Ciliate","Vorticellidae","Vorticella","unknown","heterotroph","CiliateVorticellidaeVorticellaunknown",1,0.00604756585816035,0.00151189146454009
"10",15,"Warm","Mar",12.8,"Surface","Ciliate","Strombilidiidae","Strombilidium","humile","heterotroph","CiliateStrombilidiidaeStrombilidiumhumile",2,0.000364043306108393,0.000182021653054196
"11",16,"Cold","Mar",9,"Surface","Ciliate","Strobilidiidae","Strombidium","gyrans","heterotroph","CiliateStrobilidiidaeStrombidiumgyrans",6,0.000907443976534581,0.00136116596480187
"12",1,"Warm","Apr",14,"Mid-column","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",2,0.00186200521062185,0.000931002605310925
"13",2,"Cold","Apr",11,"Mid-column","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",1,0.000554360203664699,0.000138590050916175
"14",2,"Cold","Apr",11,"Sediment","Ciliate","Strobilidiidae","Strombidium","gyrans","heterotroph","CiliateStrobilidiidaeStrombidiumgyrans",3,0.00174628167816714,0.00130971125862535
"15",2,"Cold","Apr",11,"Surface","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",1,0.00176209942264504,0.00044052485566126
"16",3,"Cold","Apr",11.6,"Sediment","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",1,0.00172859590779083,0.000432148976947708
"17",4,"Warm","Apr",15,"Mid-column","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",1,0.00285747486798077,0.000714368716995193
"18",4,"Warm","Apr",15,"Sediment","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",1,0.000629954776891703,0.000157488694222926
